Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 0.5, r= 6.0, n= 20, t= 1000;2.780,0063889364;22,2631683281;17.489.803,5302390800;3.899,1597913457 
p= 0.5, r= 6.0, n= 20, t= 10000;2.689,4373333673;22,9932279938;26.580.789,3071514030;3.877,7085385373 
p= 0.5, r= 6.0, n= 100, t= 50;1.627,6999427396;13,9168586195;9.178.977,9706401580;2.780,0130010800 
p= 0.5, r= 6.0, n= 100, t= 100;1.758,3823332634;14,7969406045;9.742.031,5363414290;2.789,2973817811 
p= 0.5, r= 6.0, n= 100, t= 1000;1.656,8305034476;14,0180922506;11.085.103,4487116060;2.701,3961389405 
p= 0.5, r= 6.0, n= 100, t= 10000;1.682,2244870528;14,1750821952;8.910.226,8776522600;2.673,0746473366 
p= 0.5, r= 6.0, n= 1000, t= 50;1.192,5852621914;44,9160537133;11.583.030,6395178870;2.417,9860268903 
p= 0.5, r= 6.0, n= 1000, t= 100;1.435,6524036937;46,4729295948;10.320.999,8285115440;2.327,1670861838 
p= 0.5, r= 6.0, n= 1000, t= 1000;1.307,8840389914;47,8057850144;7.591.282,3914296960;2.441,9642160410 
p= 0.5, r= 6.0, n= 1000, t= 10000;1.462,2315733075;44,3149673034;5.839.922,9951626120;2.547,3371679564 
p= 1.0, r= 1.0, n= 5, t= 50;297,9208586363;9,9348179809;373.691,3194804284;1.885,5048853213 
p= 1.0, r= 1.0, n= 5, t= 100;338,8019483152;10,0168941460;294.375,8647463169;1.811,1751340816 
p= 1.0, r= 1.0, n= 5, t= 1000;298,9666376318;10,1623615709;447.761,0807586794;1.823,6563058036 
p= 1.0, r= 1.0, n= 5, t= 10000;310,2814360238;9,9015620064;348.549,3791084061;1.805,6735770513 
p= 1.0, r= 1.0, n= 20, t= 50;168,8062560990;5,2382213550;91.322,1318221571;1.532,3482511476 
p= 1.0, r= 1.0, n= 20, t= 100;153,4698062920;6,2320442260;143.028,7515791307;1.510,8043959826 
p= 1.0, r= 1.0, n= 20, t= 1000;165,6766332304;6,2260483765;79.121,1218610395;1.514,0202582323 
p= 1.0, r= 1.0, n= 20, t= 10000;152,1037938589;5,1238672400;102.116,6159181385;1.565,4315258350 
p= 1.0, r= 1.0, n= 100, t= 50;103,1956651553;26,1644373008;41.632,7073055391;1.404,5845472557 
p= 1.0, r= 1.0, n= 100, t= 100;103,8597161489;19,8155247579;37.627,4024391838;1.364,6067972359 
p= 1.0, r= 1.0, n= 100, t= 1000;98,6674636403;22,6979038964;45.329,7793371406;1.352,1136095519 
p= 1.0, r= 1.0, n= 100, t= 10000;104,0352788729;24,2735857966;49.432,1321270942;1.351,7128804465 
p= 1.0, r= 1.0, n= 1000, t= 50;158.076,1926713067;73,2549350881;42.848.674.326,5149500000;167.506,5740692425 
p= 1.0, r= 1.0, n= 1000, t= 100;157.825,4296324305;61,9263516417;40.881.350.078,1767040000;170.598,7888882672 
p= 1.0, r= 1.0, n= 1000, t= 1000;164.118,4069971333;67,1785348493;44.294.110.676,0706800000;157.596,3351621830 
p= 1.0, r= 1.0, n= 1000, t= 10000;155.647,5388815172;67,3027525927;40.753.730.090,3015440000;155.622,1978187996 
p= 1.0, r= 2.0, n= 5, t= 50;1.193,9712259275;19,1201736320;6.129.511,6160865410;2.485,3565613750 
p= 1.0, r= 2.0, n= 5, t= 100;1.228,7241399278;20,7139175834;4.927.579,3049907910;2.637,4615281726 
p= 1.0, r= 2.0, n= 5, t= 1000;1.232,2296973384;21,6310989676;5.357.875,7639619180;2.554,6776731128 
p= 1.0, r= 2.0, n= 5, t= 10000;1.225,0521210353;20,5670517942;5.315.589,5796226660;2.404,9364725822 
p= 1.0, r= 2.0, n= 20, t= 50;640,7572141697;12,9276516936;1.481.577,8618120053;1.943,5553002453 
p= 1.0, r= 2.0, n= 20, t= 100;657,7923744954;11,1155472927;1.363.290,0674584697;1.795,2140778405 
p= 1.0, r= 2.0, n= 20, t= 1000;639,8617420895;11,1235042474;1.538.695,3978694150;1.882,3988606121 
